GTFS Stop ID,GTFS Latitude,GTFS Longitude,State
H12,40.588034,-73.813641,NY
H13,40.585307,-73.820558,NY
H14,40.583209,-73.827559,NY
H15,40.580903,-73.835592,NY
H06,40.590927,-73.796924,NY
H07,40.592374,-73.788522,NY
H08,40.592943,-73.776013,NY
H09,40.595398,-73.768175,NY
H10,40.600066,-73.761353,NY
H11,40.603995,-73.755405,NY
D01,40.874811,-73.878855,NY
D03,40.873244,-73.887138,NY
D04,40.866978,-73.893509,NY
D05,40.861296,-73.897749,NY
D06,40.856093,-73.900741,NY
D07,40.85041,-73.905227,NY
D08,40.8459,-73.910136,NY
D09,40.839306,-73.9134,NY
D10,40.833771,-73.91844,NY
D11,40.827905,-73.925651,NY
D12,40.830135,-73.938209,NY
B04,40.754203,-73.942836,NY
B06,40.759145,-73.95326,NY
B08,40.764629,-73.966113,NY
B10,40.763972,-73.97745,NY
D15,40.758663,-73.981329,NY
D16,40.754222,-73.984569,NY
D17,40.749719,-73.987823,NY
D18,40.742878,-73.992821,NY
D19,40.738228,-73.996209,NY
D21,40.725297,-73.996204,NY
D22,40.718267,-73.993753,NY
F14,40.723402,-73.989938,NY
F15,40.718611,-73.988114,NY
F16,40.713715,-73.990173,NY
F18,40.701397,-73.986751,NY
F20,40.686145,-73.990862,NY
F21,40.680303,-73.995048,NY
F22,40.67358,-73.995959,NY
F23,40.670272,-73.989779,NY
F24,40.666271,-73.980305,NY
F25,40.660365,-73.979493,NY
F26,40.650782,-73.975776,NY
F27,40.644041,-73.979678,NY
F29,40.636119,-73.978172,NY
F30,40.629755,-73.976971,NY
F31,40.625322,-73.976127,NY
F32,40.620769,-73.975264,NY
F33,40.61514,-73.974197,NY
F34,40.608944,-73.973022,NY
F35,40.603217,-73.972361,NY
F36,40.596063,-73.973357,NY
F38,40.58962,-73.97425,NY
F39,40.581011,-73.974574,NY
F01,40.712646,-73.783817,NY
F02,40.71047,-73.793604,NY
F03,40.707564,-73.803326,NY
F04,40.70546,-73.810708,NY
F05,40.709179,-73.820574,NY
F06,40.714441,-73.831008,NY
F07,40.718331,-73.837324,NY
G08,40.721691,-73.844521,NY
G09,40.726523,-73.852719,NY
G10,40.729846,-73.861604,NY
G11,40.733106,-73.869229,NY
G12,40.737015,-73.877223,NY
G13,40.742454,-73.882017,NY
G14,40.746644,-73.891338,NY
G15,40.749669,-73.898453,NY
G16,40.752885,-73.906006,NY
G18,40.756312,-73.913333,NY
G19,40.756879,-73.92074,NY
G20,40.752039,-73.928781,NY
G21,40.748973,-73.937243,NY
F09,40.747846,-73.946,NY
F11,40.757552,-73.969055,NY
F12,40.760167,-73.975224,NY
D14,40.762862,-73.981637,NY
G05,40.702147,-73.801109,NY
G06,40.700486,-73.807969,NY
G07,40.702566,-73.816859,NY
G22,40.746554,-73.943832,NY
G24,40.744065,-73.949724,NY
G26,40.731352,-73.954449,NY
G28,40.724635,-73.951277,NY
G29,40.712792,-73.951418,NY
G30,40.706092,-73.950308,NY
G31,40.700377,-73.950234,NY
G32,40.694568,-73.949046,NY
