GTFS Stop ID,GTFS Latitude,GTFS Longitude,Grad/Bach Deg 2014
G13,40.742454,-73.882017,0.257042254
G12,40.737015,-73.877223,0.283529787
G11,40.733106,-73.869229,0.347551817
G10,40.729846,-73.861604,0.445540117
G09,40.726523,-73.852719,0.529842214
G08,40.721691,-73.844521,0.583149103
G07,40.702566,-73.816859,0.428435719
G06,40.700486,-73.807969,0.140022051
G05,40.702147,-73.801109,#DIV/0!
F39,40.581011,-73.974574,0.385207434
F38,40.58962,-73.97425,0.187303583
F36,40.596063,-73.973357,0.220758693
F35,40.603217,-73.972361,0.202947846
F34,40.608944,-73.973022,0.271028037
F33,40.61514,-73.974197,0.406015038
F32,40.620769,-73.975264,0.263157895
F31,40.625322,-73.976127,0.445419103
F30,40.629755,-73.976971,0.225606854
F29,40.636119,-73.978172,0.209131075
F27,40.644041,-73.979678,0.299546632
F26,40.650782,-73.975776,0.527237887
F25,40.660365,-73.979493,0.495266272
F24,40.666271,-73.980305,0.788958496
F23,40.670272,-73.989779,0.502124646
F22,40.67358,-73.995959,0.472
F21,40.680303,-73.995048,0.617348508
F20,40.686145,-73.990862,0.768262845
F18,40.701397,-73.986751,0.808080808
F16,40.713715,-73.990173,0.19226895
F15,40.718611,-73.988114,0.372928582
F14,40.723402,-73.989938,0.547033898
F12,40.760167,-73.975224,0.505
F11,40.757552,-73.969055,0.772867262
F09,40.747846,-73.946,0.569140537
F07,40.718331,-73.837324,0.698826597
F06,40.714441,-73.831008,0.320754717
F05,40.709179,-73.820574,0.428435719
F04,40.70546,-73.810708,0.200788596
F03,40.707564,-73.803326,0.310363538
F02,40.71047,-73.793604,0.242912874
F01,40.712646,-73.783817,0.161313096
E01,40.712582,-74.009781,0.89621977
D43,40.577422,-73.981233,0.33983082
D42,40.576127,-73.975939,0.385207434
D41,40.576312,-73.968501,0.167024211
D40,40.577621,-73.961376,0.389269747
D39,40.586896,-73.954155,0.332489879
D38,40.595246,-73.955161,0.187205034
D37,40.5993,-73.955929,0.25206432
D35,40.60867,-73.957734,0.398848369
D34,40.617618,-73.959399,0.424938875
D33,40.625039,-73.960803,0.42899061
D32,40.62927,-73.961639,0.42899061
D31,40.635082,-73.962793,0.412393162
D30,40.640927,-73.963891,0.412393162
D29,40.644031,-73.964492,0.498319014
D28,40.650527,-73.962982,0.220154664
D27,40.655292,-73.961495,0.247808149
D26,40.661614,-73.962246,0.28287037
D25,40.67705,-73.972367,0.748
D24,40.68446,-73.97689,0.490491284
D22,40.718267,-73.993753,0.372928582
D21,40.725297,-73.996204,0.689232565
D19,40.738228,-73.996209,0.749873032
D18,40.742878,-73.992821,0.793296089
D17,40.749719,-73.987823,0.634974533
D16,40.754222,-73.984569,0.44
D15,40.758663,-73.981329,0.606060606
D14,40.762862,-73.981637,0.704535997
D12,40.830135,-73.938209,0.102633969
D11,40.827905,-73.925651,0.139848702
D10,40.833771,-73.91844,0.089906497
D09,40.839306,-73.9134,0.095535714
D08,40.8459,-73.910136,0.178894786
D07,40.85041,-73.905227,0.043143813
D06,40.856093,-73.900741,0.100619759
D05,40.861296,-73.897749,0.091743119
D04,40.866978,-73.893509,0.064803564
D03,40.873244,-73.887138,0.202470687
D01,40.874811,-73.878855,0.209122536
B23,40.588841,-73.983765,0.187303583
B22,40.597704,-73.986829,0.148771457
B21,40.601875,-73.993728,0.234122984
B20,40.604556,-73.998168,0.185200669
B19,40.607954,-74.001736,0.246642247
B18,40.613501,-74.00061,0.169536424
B17,40.619589,-73.998864,0.15982009
B16,40.626472,-73.996895,0.132398754
B15,40.631435,-73.995476,0.162991786
B14,40.63626,-73.994791,0.172893136
B13,40.640914,-73.994304,0.199790246
B12,40.646292,-73.994324,0.145087833
B10,40.763972,-73.97745,0.78125
B08,40.764629,-73.966113,0.823145124
B06,40.759145,-73.95326,0.635524026
B04,40.754203,-73.942836,0.104714226
A65,40.685951,-73.825798,0.187006146
A64,40.684331,-73.832163,0.131602507
A63,40.681711,-73.837683,0.154069767
A61,40.680429,-73.843853,0.210691824
A60,40.679843,-73.85147,0.169200995
A59,40.679371,-73.858992,0.201310861
A57,40.677044,-73.86505,0.185863874
A55,40.675377,-73.872106,0.109521028
A54,40.67413,-73.88075,0.10564663
A53,40.67271,-73.890358,0.059302326
A52,40.674542,-73.896548,0.143452106
A51,40.678334,-73.905316,0.140461216
A50,40.67834,-73.911946,0.135046473
A49,40.678822,-73.920786,0.135046473
A48,40.679364,-73.930729,0.39143469
A47,40.679921,-73.940858,0.172362556
A46,40.680438,-73.950426,0.338393422
A45,40.68138,-73.956848,0.412773723
A44,40.683263,-73.965838,0.602002503
A43,40.686113,-73.973946,0.747292419
A42,40.688484,-73.985001,0.713999332
A41,40.692338,-73.987342,0.796875
A40,40.699337,-73.990531,0.51907131
A38,40.710197,-74.007691,0.850358423
A36,40.714111,-74.008585,0.89621977
A34,40.720824,-74.005229,0.904567492
A33,40.726227,-74.003739,0.792725461
A32,40.732338,-74.000495,0.833988641
A31,40.740893,-74.00169,0.766561965
A30,40.745906,-73.998041,0.800284546
A28,40.752287,-73.993391,0.924528302
A27,40.757308,-73.989735,0.250704225
A25,40.762456,-73.985984,0.704535997
A24,40.768296,-73.981736,0.844034378
A17,40.800603,-73.958161,0.393861893
A16,40.805085,-73.954882,0.439918117
A15,40.811109,-73.952343,0.620664207
A14,40.817894,-73.947649,0.547134935
A12,40.824783,-73.944216,0.487404408
A11,40.830518,-73.941514,0.227537923
A10,40.836013,-73.939892,0.225119354
A09,40.840719,-73.939561,0.179630666
A07,40.847391,-73.939704,0.173286991
A06,40.851695,-73.937969,0.662005121
A05,40.859022,-73.93418,0.758862144
A03,40.865491,-73.927271,0.394940267
A02,40.868072,-73.919899,0.199966449
902,40.755983,-73.986229,0.250704225
901,40.752769,-73.979189,0.75128999
726,40.755882,-74.00191,0.796538624
725,40.755477,-73.987691,0.44
724,40.753821,-73.981963,0.826056826
723,40.751431,-73.976041,0.834133653
721,40.742626,-73.953581,0.569140537
720,40.742216,-73.948916,0.760594293
719,40.747023,-73.945264,0.661233168
718,40.750582,-73.940202,0.661233168
716,40.744587,-73.930997,0.189393939
715,40.743781,-73.924016,0.288124594
714,40.743132,-73.918435,0.344013491
713,40.744149,-73.912549,0.334910123
712,40.74563,-73.902984,0.3447343
711,40.746325,-73.896403,0.320688226
710,40.746848,-73.891394,0.299171391
709,40.747659,-73.883697,0.263275573
708,40.748408,-73.876613,0.239828694
707,40.749145,-73.869527,0.070809249
706,40.749865,-73.8627,0.057902231
705,40.75173,-73.855334,0.205905512
702,40.754622,-73.845625,0.320754717
701,40.7596,-73.83003,0.401742086
640,40.713065,-74.004131,0.172598546
639,40.718803,-74.000193,0.734545455
638,40.722301,-73.997141,0.734545455
637,40.725915,-73.994659,0.869073276
636,40.730054,-73.99107,0.842170671
635,40.734673,-73.989951,0.834766863
634,40.739864,-73.986599,0.75931958
633,40.74307,-73.984264,0.75931958
632,40.746081,-73.982076,0.835871133
631,40.751776,-73.976848,0.834133653
630,40.757107,-73.97192,0.699778024
629,40.762526,-73.967967,0.823145124
628,40.768141,-73.96387,0.742487981
627,40.77362,-73.959874,0.849331963
626,40.779492,-73.955589,0.860110803
625,40.785672,-73.95107,0.838238931
624,40.7906,-73.947478,0.299837596
623,40.79502,-73.94425,0.251082251
622,40.798629,-73.941617,0.242457608
621,40.804138,-73.937594,0.11533052
619,40.810476,-73.926138,0.042130098
618,40.807566,-73.91924,0.033839977
617,40.805368,-73.914042,0.067393059
616,40.808719,-73.907657,0.174444444
615,40.812118,-73.904098,0.085117773
614,40.816104,-73.896435,0.099914114
613,40.820948,-73.890549,0.092664093
612,40.826525,-73.886283,0.16279913
611,40.828584,-73.879159,0.047161572
610,40.829521,-73.874516,0.058544985
609,40.831509,-73.867618,0.1425
608,40.833226,-73.860816,0.17193087
607,40.834255,-73.851222,0.154273372
606,40.836488,-73.847036,0.199891363
604,40.839892,-73.842952,0.199891363
603,40.843863,-73.836322,0.187607998
602,40.84681,-73.832569,0.182628062
601,40.852462,-73.828121,0.313255814
505,40.854364,-73.860495,0.286452126
504,40.858985,-73.855359,0.3208441
503,40.869526,-73.846384,0.270550678
502,40.878663,-73.838591,0.230357143
501,40.8883,-73.830834,0.217391304
423,40.692404,-73.990151,0.841103086
420,40.704817,-74.014065,0.840752913
419,40.707557,-74.011862,0.832310838
418,40.710368,-74.009509,0.850358423
416,40.813224,-73.929849,0.081942337
415,40.818375,-73.927351,0.081942337
414,40.827994,-73.925831,0.196757965
413,40.835537,-73.9214,0.089906497
412,40.840075,-73.917791,0.069991251
411,40.844434,-73.914685,0.134541985
410,40.84848,-73.911794,0.08248062
409,40.853453,-73.907684,0.12590328
408,40.858407,-73.903879,0.135390947
407,40.862803,-73.901034,0.156576981
406,40.86776,-73.897174,0.149488927
405,40.873412,-73.890064,0.266642148
402,40.87975,-73.884655,0.27922815
401,40.886037,-73.878751,0.183808474
302,40.820421,-73.936245,0.341443633
301,40.82388,-73.93647,0.243959305
257,40.666235,-73.884079,0.157319392
256,40.665449,-73.889395,0.157319392
255,40.664635,-73.894895,0.098886414
254,40.663515,-73.902447,0.17247191
253,40.662549,-73.908946,0.046457219
252,40.661453,-73.916327,0.102588235
251,40.664717,-73.92261,0.050508069
250,40.668897,-73.932942,0.099830221
249,40.669399,-73.942161,0.352802822
248,40.669847,-73.950466,0.187662902
247,40.632836,-73.947642,0.293625914
246,40.639967,-73.948411,0.203558911
245,40.645098,-73.948959,0.161546901
244,40.650843,-73.949575,0.216313214
243,40.656652,-73.9502,0.239617666
242,40.662742,-73.95085,0.25014245
241,40.667883,-73.950683,0.187662902
239,40.670682,-73.958131,0.278779928
238,40.671987,-73.964375,#DIV/0!
237,40.675235,-73.971046,0.823772484
236,40.680829,-73.975098,0.66375
235,40.684359,-73.977666,0.490491284
234,40.688246,-73.980492,0.665178571
233,40.690545,-73.985065,0.665178571
232,40.693219,-73.989998,0.796875
231,40.697466,-73.993086,0.812632322
230,40.706821,-74.0091,0.832310838
229,40.709416,-74.006571,0.850358423
228,40.713051,-74.008811,0.89621977
227,40.799075,-73.951822,0.158815612
226,40.802098,-73.949625,0.497659176
225,40.807754,-73.945495,0.530040733
224,40.814229,-73.94077,0.386144236
222,40.81841,-73.926718,0.081942337
221,40.816109,-73.917757,0.097787081
220,40.81649,-73.907807,0.140707035
219,40.819585,-73.90177,0.056481712
218,40.822181,-73.896736,0.064057971
217,40.824073,-73.893064,0.074451411
216,40.829993,-73.891865,0.190288196
215,40.837288,-73.887734,0.078224101
214,40.840295,-73.880049,0.046319272
213,40.841894,-73.873488,0.117298578
212,40.848828,-73.868457,0.117298578
211,40.857192,-73.867615,0.286904211
210,40.865462,-73.867352,0.212774451
209,40.871356,-73.867164,0.212774451
208,40.87785,-73.866256,0.19744545
207,40.883895,-73.862633,0.27255814
206,40.888022,-73.860341,0.180327869
205,40.893193,-73.857473,0.17658258
204,40.898379,-73.854376,0.154787932
201,40.903125,-73.85062,0.151843818
142,40.702068,-74.013664,0.722810395
139,40.707513,-74.013783,0.840752913
138,40.711835,-74.012188,0.840752913
137,40.715478,-74.009266,0.89621977
136,40.719318,-74.006886,0.904567492
135,40.722854,-74.006277,0.724524622
134,40.728251,-74.005367,0.724524622
133,40.733422,-74.002906,0.772443334
132,40.737826,-74.000201,0.816441931
131,40.74104,-73.997871,0.766561965
130,40.744081,-73.995657,0.800284546
129,40.747215,-73.993365,0.901603096
128,40.750373,-73.991057,0.634974533
127,40.75529,-73.987495,0.44
126,40.761728,-73.983849,0.704535997
125,40.768247,-73.981929,0.844034378
124,40.77344,-73.982209,0.798373288
123,40.778453,-73.98197,0.867780965
122,40.783934,-73.979917,0.816773194
121,40.788644,-73.976218,0.811845861
120,40.793919,-73.972323,0.750847708
119,40.799446,-73.968379,0.797798973
118,40.803967,-73.966847,0.760335917
117,40.807722,-73.96411,0.809968847
116,40.815581,-73.958372,0.588274132
115,40.822008,-73.953676,0.22230567
114,40.826551,-73.95036,0.209628079
113,40.834041,-73.94489,0.296098986
